client_name,industry,region,service_tier,annual_value_inr,contract_start,contract_end,account_manager,status
Northwind Logistics,Logistics,West,Gold,4200000,2026-04-01,2027-03-31,Darshan Dalvi,Active
Contoso Manufacturing,Manufacturing,North,Platinum,7800000,2025-10-01,2027-09-30,Priya Sharma,Active
Fabrikam Retail,Retail,South,Silver,1950000,2026-01-15,2026-12-31,Aditya Nair,Active
Adventure Works,Travel,West,Gold,3600000,2025-07-01,2026-06-30,Priya Sharma,Renewal Due
Tailspin Toys,Retail,East,Silver,1450000,2026-02-01,2027-01-31,Aditya Nair,Active
Wide World Importers,Logistics,North,Platinum,9200000,2024-11-01,2026-10-31,Darshan Dalvi,Active
Litware Financial,Finance,West,Platinum,6700000,2026-03-01,2028-02-29,Rohit Kulkarni,Active
Proseware Health,Healthcare,South,Gold,3100000,2025-09-01,2026-08-31,Sneha Raut,Renewal Due
Fourth Coffee,Hospitality,West,Silver,890000,2026-05-01,2027-04-30,Aditya Nair,Active
Graphic Design Institute,Education,East,Silver,1120000,2026-06-01,2027-05-31,Priya Sharma,Active
Alpine Ski House,Hospitality,North,Gold,2400000,2025-12-01,2026-11-30,Sneha Raut,Active
Blue Yonder Airlines,Travel,South,Platinum,8400000,2026-01-01,2027-12-31,Rohit Kulkarni,Active
Woodgrove Bank,Finance,West,Platinum,7100000,2025-08-01,2027-07-31,Darshan Dalvi,Active
Lucerne Publishing,Media,East,Silver,760000,2026-04-15,2027-04-14,Aditya Nair,At Risk
Trey Research,Research,North,Gold,2900000,2026-02-15,2027-02-14,Priya Sharma,Active
