invoice_id,client_id,amount_inr,issued_date,due_date,status,paid_date,days_overdue
INV-2026-101,C03,975000,2026-04-09,2026-05-24,Unpaid,,70
INV-2026-102,C02,3200000,2026-04-16,2026-05-31,Paid,2026-06-18,0
INV-2026-103,C01,850000,2026-04-01,2026-05-16,Unpaid,,78
INV-2026-104,C02,1850000,2026-02-07,2026-03-24,Unpaid,,131
INV-2026-105,C02,850000,2026-05-18,2026-07-02,Paid,2026-06-18,0
INV-2026-106,C05,1200000,2026-07-13,2026-08-27,Paid,2026-08-25,0
INV-2026-107,C05,1850000,2026-05-18,2026-07-02,Paid,2026-06-20,0
INV-2026-108,C05,850000,2026-06-18,2026-08-02,Paid,2026-07-14,0
INV-2026-109,C03,3200000,2026-02-06,2026-03-23,Unpaid,,132
INV-2026-110,C02,1850000,2026-02-08,2026-03-25,Paid,2026-03-31,0
INV-2026-111,C02,3200000,2026-02-03,2026-03-20,Paid,2026-03-31,0
INV-2026-112,C05,850000,2026-04-24,2026-06-08,Unpaid,,55
INV-2026-113,C03,3200000,2026-01-27,2026-03-13,Unpaid,,142
INV-2026-114,C02,1450000,2026-01-01,2026-02-15,Paid,2026-03-05,0
INV-2026-115,C02,2400000,2026-01-02,2026-02-16,Paid,2026-03-03,0
INV-2026-116,C05,1200000,2026-05-25,2026-07-09,Paid,2026-07-15,0
INV-2026-117,C05,2400000,2026-07-11,2026-08-25,Paid,2026-08-23,0
INV-2026-118,C05,1850000,2026-01-06,2026-02-20,Unpaid,,163
INV-2026-119,C01,975000,2026-04-28,2026-06-12,Paid,2026-06-11,0
INV-2026-120,C04,1200000,2026-03-27,2026-05-11,Paid,2026-05-08,0
INV-2026-121,C03,850000,2026-04-01,2026-05-16,Paid,2026-05-04,0
INV-2026-122,C02,1850000,2026-05-19,2026-07-03,Unpaid,,30
INV-2026-123,C04,1200000,2026-04-22,2026-06-06,Unpaid,,57
INV-2026-124,C05,975000,2026-07-15,2026-08-29,Paid,2026-08-13,0
INV-2026-125,C01,1200000,2026-04-03,2026-05-18,Unpaid,,76
INV-2026-126,C03,2400000,2026-04-29,2026-06-13,Paid,2026-06-01,0
INV-2026-127,C05,3200000,2026-01-08,2026-02-22,Paid,2026-02-21,0
INV-2026-128,C03,975000,2026-07-18,2026-09-01,Paid,2026-08-24,0
